id,date,description,amount,type,accountId,categoryId,paymentMethod,cardId,note
0a88018d,2017-01-01,전월이월,187683,income,gwangju,other_income,account,,이전: 17년 광주은행
56fbee3d,2017-04-01,전월이월,641323,income,gwangju,other_income,account,,이전: 17년 광주은행
7f74aee3,2017-07-01,전월이월,397153,income,gwangju,other_income,account,,이전: 17년 광주은행
1a7f45cc,2017-10-01,전월이월,319257,income,gwangju,other_income,account,,이전: 17년 광주은행
d3ee81e0,2017-01-01,이모부용돈,500000,expense,gwangju,etc,account,,이전: 17년 광주은행
a4b3b037,2017-04-01,이모부용돈,1364040,expense,gwangju,etc,account,,이전: 17년 광주은행
e9b7c490,2017-07-01,이모부용돈,1364040,expense,gwangju,etc,account,,이전: 17년 광주은행
8f4c0309,2017-10-01,이모부용돈,380390,expense,gwangju,etc,account,,이전: 17년 광주은행
6b0967e4,2017-01-01,엔텍스(10일),1364040,expense,gwangju,etc,account,,이전: 17년 광주은행
9d08dca6,2017-04-01,엔텍스(10일),97500,expense,gwangju,etc,account,,이전: 17년 광주은행
4470a29d,2017-07-01,엔텍스(10일),164,expense,gwangju,etc,account,,이전: 17년 광주은행
fb7578dd,2017-01-01,적금,1000000,expense,gwangju,saving,account,,이전: 17년 광주은행
49616f08,2017-04-01,적금,1000000,expense,gwangju,saving,account,,이전: 17년 광주은행
7657cb4b,2017-07-01,적금,1000000,expense,gwangju,saving,account,,이전: 17년 광주은행
b582a9d7,2017-10-01,적금,300000,expense,gwangju,saving,account,,이전: 17년 광주은행
0c5a14ff,2017-01-01,국민은행이체,200000,expense,gwangju,etc,account,,이전: 17년 광주은행
71d7d3b1,2017-04-01,국민은행이체,130000,expense,gwangju,etc,account,,이전: 17년 광주은행
12ba1499,2017-07-01,국민은행이체,200000,expense,gwangju,etc,account,,이전: 17년 광주은행
82301b41,2017-10-01,국민은행이체,87700,expense,gwangju,etc,account,,이전: 17년 광주은행
9234350f,2017-01-01,김지연용돈,50400,expense,gwangju,etc,account,,이전: 17년 광주은행
1b8bc548,2017-04-01,김지연용돈,51500,expense,gwangju,etc,account,,이전: 17년 광주은행
30128b2b,2017-07-01,김지연용돈,242100,expense,gwangju,etc,account,,이전: 17년 광주은행
708a54f9,2017-01-01,기타,160000,income,gwangju,other_income,account,,이전: 17년 광주은행
0768e7a5,2017-04-01,기타,200000,income,gwangju,other_income,account,,이전: 17년 광주은행
1116bbb5,2017-01-01,전월이월,42865,income,gwangju,other_income,account,,이전: 17년 광주은행
e9dd765e,2017-04-01,전월이월,26715,income,gwangju,other_income,account,,이전: 17년 광주은행
96555ab9,2017-07-01,전월이월,26700,income,gwangju,other_income,account,,이전: 17년 광주은행
b8880dbe,2017-10-01,전월이월,26677,income,gwangju,other_income,account,,이전: 17년 광주은행
e1fb703f,2017-01-01,마운틴마트,2400,expense,gwangju,etc,account,,이전: 17년 광주은행
83bc4dab,2017-04-01,마운틴마트,15,expense,gwangju,etc,account,,이전: 17년 광주은행
1df2a482,2017-07-01,마운틴마트,30,expense,gwangju,etc,account,,이전: 17년 광주은행
c4e4e9c7,2017-10-01,마운틴마트,110,expense,gwangju,etc,account,,이전: 17년 광주은행
4cfda8d0,2017-01-01,티켓링크,13600,expense,gwangju,etc,account,,이전: 17년 광주은행
0c41678a,2017-01-01,기타,150,income,gwangju,other_income,account,,이전: 17년 광주은행
43fe8901,2018-01-01,전월이월,22178,income,gwangju,other_income,account,,이전: 18년 광주은행
267f92a6,2018-04-01,전월이월,22163,income,gwangju,other_income,account,,이전: 18년 광주은행
ce6814dc,2018-07-01,전월이월,22148,income,gwangju,other_income,account,,이전: 18년 광주은행
90f55458,2018-10-01,전월이월,22153,income,gwangju,other_income,account,,이전: 18년 광주은행
099ab51a,2018-01-01,이자,15,income,gwangju,interest,account,,이전: 18년 광주은행
fad1f4d0,2018-04-01,이자,15,income,gwangju,interest,account,,이전: 18년 광주은행
1b5c4301,2017-01-01,국민은행,210000,expense,kb,etc,account,,이전: 17년 국민은행
8320b466,2017-04-01,국민은행,210000,expense,kb,etc,account,,이전: 17년 국민은행
09bee71e,2017-07-01,국민은행,146200,expense,kb,etc,account,,이전: 17년 국민은행
8fad4592,2017-10-01,국민은행,96200,expense,kb,etc,account,,이전: 17년 국민은행
0c1aa960,2017-01-01,전월이월,1469999,income,kb,other_income,account,,이전: 17년 국민은행
ea68a12e,2017-04-01,전월이월,1471848,income,kb,other_income,account,,이전: 17년 국민은행
04949184,2017-07-01,전월이월,242369,income,kb,other_income,account,,이전: 17년 국민은행
70c37c93,2017-10-01,전월이월,263319,income,kb,other_income,account,,이전: 17년 국민은행
26fbe17f,2017-01-01,화신볼트(15일),1524000,expense,kb,etc,account,,이전: 17년 국민은행
a19001c4,2017-04-01,화신볼트(15일),1,expense,kb,etc,account,,이전: 17년 국민은행
10110a7e,2017-07-01,화신볼트(15일),34500,expense,kb,etc,account,,이전: 17년 국민은행
a332a045,2017-10-01,화신볼트(15일),350000,expense,kb,etc,account,,이전: 17년 국민은행
00dc9ff4,2017-01-01,이수미입금,3508,expense,kb,etc,account,,이전: 17년 국민은행
82cca550,2017-04-01,이수미입금,100000,expense,kb,etc,account,,이전: 17년 국민은행
